% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+03 Hz, Precision mode
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-06-06 T 13:52:12 +0200
% Time (s), Input 1 (V), Input 2 (V)
0.0000000000e+00, -2.6646161766e+00, -2.3228843032e-02
1.0000000000e-03, -2.6660137341e+00, 6.4687838153e-04
2.0000000000e-03, -2.6653746720e+00, -8.2949880814e-03
3.0000000000e-03, -2.6654881649e+00, -4.0355331183e-02
4.0000000000e-03, -2.6650879695e+00, -5.1822180637e-02
5.0000000000e-03, -2.6647093471e+00, -4.6801916659e-02
6.0000000000e-03, -2.6645567726e+00, -2.1829409666e-02
7.0000000000e-03, -2.6658614722e+00, -3.2625306483e-03
8.0000000000e-03, -2.6664408176e+00, 8.7999221491e-03
9.0000000000e-03, -2.6659124346e+00, -3.7061847920e-02
1.0000000000e-02, -2.6652796256e+00, -7.3875136965e-02
1.1000000000e-02, -2.6643848137e+00, -9.8066012274e-02
1.2000000000e-02, -2.6648290931e+00, -9.5470057125e-02
1.3000000000e-02, -2.6658033188e+00, -6.7392596432e-02
1.4000000000e-02, -2.6643172807e+00, -5.7940168153e-02
1.5000000000e-02, -2.6642866407e+00, -5.9754491617e-02
1.6000000000e-02, -2.6648985020e+00, -8.2334580352e-02
1.7000000000e-02, -2.6648381600e+00, -1.0016234845e-01
1.8000000000e-02, -2.6653093276e+00, -1.1194685302e-01
1.9000000000e-02, -2.6641162450e+00, -6.8065424985e-02
2.0000000000e-02, -2.6640677838e+00, -3.1042971302e-02
2.1000000000e-02, -2.6647693764e+00, -7.7669177158e-03
2.2000000000e-02, -2.6639724248e+00, -1.1059150368e-02
2.3000000000e-02, -2.6646549456e+00, -3.9539307705e-02
2.4000000000e-02, -2.6651508127e+00, -4.1084749870e-02
2.5000000000e-02, -2.6661225372e+00, -3.9132233924e-02
2.6000000000e-02, -2.6661760008e+00, -1.3230210533e-02
2.7000000000e-02, -2.6662475983e+00, 7.4745874660e-03
2.8000000000e-02, -2.6661309788e+00, 1.3938368839e-02
2.9000000000e-02, -2.6657273442e+00, -3.5475448255e-02
3.0000000000e-02, -2.6661356686e+00, -7.4500129659e-02
3.1000000000e-02, -2.6657726789e+00, -1.0285772715e-01
3.2000000000e-02, -2.6645361376e+00, -9.6837912572e-02
3.3000000000e-02, -2.6642619412e+00, -7.0860539887e-02
3.4000000000e-02, -2.6640849797e+00, -5.8133074853e-02
3.5000000000e-02, -2.6641371927e+00, -5.8291277105e-02
3.6000000000e-02, -2.6641837780e+00, -7.8859133233e-02
3.7000000000e-02, -2.6650842177e+00, -9.8711327392e-02
3.8000000000e-02, -2.6645345743e+00, -1.1083318420e-01
3.9000000000e-02, -2.6649250775e+00, -6.4246372578e-02
4.0000000000e-02, -2.6663801630e+00, -2.9291178372e-02
4.1000000000e-02, -2.6663488978e+00, -7.6537374480e-03
4.2000000000e-02, -2.6654822245e+00, -1.4099072313e-02
4.3000000000e-02, -2.6659143105e+00, -4.0124906163e-02
4.4000000000e-02, -2.6662379061e+00, -4.8734422834e-02
4.5000000000e-02, -2.6660603193e+00, -4.5898975737e-02
4.6000000000e-02, -2.6662400946e+00, -2.3126292956e-02
4.7000000000e-02, -2.6657582969e+00, -2.9183000547e-03
4.8000000000e-02, -2.6657604854e+00, 7.6681194710e-03
4.9000000000e-02, -2.6663548382e+00, -3.3932819963e-02
5.0000000000e-02, -2.6663823516e+00, -6.4835410215e-02
5.1000000000e-02, -2.6659865333e+00, -8.9114766231e-02
5.2000000000e-02, -2.6662991860e+00, -8.3007721558e-02
5.3000000000e-02, -2.6666668655e+00, -6.4406138094e-02
5.4000000000e-02, -2.6662404073e+00, -5.6699249692e-02
5.5000000000e-02, -2.6667506564e+00, -5.0930495212e-02
5.6000000000e-02, -2.6665702558e+00, -7.4530456968e-02
5.7000000000e-02, -2.6659471391e+00, -9.9742455909e-02
5.8000000000e-02, -2.6663323272e+00, -1.1058962776e-01
5.9000000000e-02, -2.6664942812e+00, -7.1721898002e-02
6.0000000000e-02, -2.6662816774e+00, -3.7278828876e-02
6.1000000000e-02, -2.6666199676e+00, -1.2864094252e-02
6.2000000000e-02, -2.6662848040e+00, -1.7669878497e-02
6.3000000000e-02, -2.6668050580e+00, -4.0506029772e-02
6.4000000000e-02, -2.6662150824e+00, -4.5071071458e-02
6.5000000000e-02, -2.6660968997e+00, -4.1860753806e-02
6.6000000000e-02, -2.6662679207e+00, -1.9118085681e-02
6.7000000000e-02, -2.6660243643e+00, -2.7494676110e-03
6.8000000000e-02, -2.6656654390e+00, 3.5457939705e-03
6.9000000000e-02, -2.6646586974e+00, -4.3385873548e-02
7.0000000000e-02, -2.6645452045e+00, -7.5851414514e-02
7.1000000000e-02, -2.6646124248e+00, -9.7247800227e-02
7.2000000000e-02, -2.6649685362e+00, -8.6687643526e-02
7.3000000000e-02, -2.6665446183e+00, -5.9671951312e-02
7.4000000000e-02, -2.6661866310e+00, -5.1722444435e-02
7.5000000000e-02, -2.6667484679e+00, -5.4253993132e-02
7.6000000000e-02, -2.6663220096e+00, -7.7943060900e-02
7.7000000000e-02, -2.6665833873e+00, -9.4715000919e-02
7.8000000000e-02, -2.6666465431e+00, -1.0932307178e-01
7.9000000000e-02, -2.6664254977e+00, -6.7874394202e-02
8.0000000000e-02, -2.6665446183e+00, -3.1795838940e-02
8.1000000000e-02, -2.6662663574e+00, -7.8278849871e-03
8.2000000000e-02, -2.6658605343e+00, -1.5370943389e-02
8.3000000000e-02, -2.6643744961e+00, -4.2873748468e-02
8.4000000000e-02, -2.6649022538e+00, -4.8497744760e-02
8.5000000000e-02, -2.6644370267e+00, -4.0073631124e-02
8.6000000000e-02, -2.6648356588e+00, -1.5688598505e-02
8.7000000000e-02, -2.6648244033e+00, 1.1858915907e-03
8.8000000000e-02, -2.6652965089e+00, 1.3917108457e-02
8.9000000000e-02, -2.6654422050e+00, -3.2498682150e-02
9.0000000000e-02, -2.6651561278e+00, -7.0880549658e-02
9.1000000000e-02, -2.6645423906e+00, -9.9355391899e-02
9.2000000000e-02, -2.6655913403e+00, -8.9128210295e-02
9.3000000000e-02, -2.6667675397e+00, -6.5433827432e-02
9.4000000000e-02, -2.6668331967e+00, -5.7982376264e-02
9.5000000000e-02, -2.6664223711e+00, -5.7170417271e-02
9.6000000000e-02, -2.6664420683e+00, -7.7281175190e-02
9.7000000000e-02, -2.6663951703e+00, -9.7443520801e-02
9.8000000000e-02, -2.6668541445e+00, -1.0437628118e-01
9.9000000000e-02, -2.6665599383e+00, -5.9233924916e-02
1.0000000000e-01, -2.6668563330e+00, -2.7029448932e-02
1.0100000000e-01, -2.6673028011e+00, -5.6465072839e-03
1.0200000000e-01, -2.6670295426e+00, -1.5905892113e-02
1.0300000000e-01, -2.6669526301e+00, -4.0097392727e-02
1.0400000000e-01, -2.6665096012e+00, -4.4378858439e-02
1.0500000000e-01, -2.6664461327e+00, -3.9302942284e-02
1.0600000000e-01, -2.6668841591e+00, -1.6035642973e-02
1.0700000000e-01, -2.6667787952e+00, 2.7300831453e-03
1.0800000000e-01, -2.6669369974e+00, 1.0545462025e-02
1.0900000000e-01, -2.6668044327e+00, -3.3093972840e-02
1.1000000000e-01, -2.6664101777e+00, -6.9505815852e-02
1.1100000000e-01, -2.6660897087e+00, -9.4935421054e-02
